City,2010 Census Population,Total Pawdacity Sales,Households with Under 18,Land Area,Population Density,Total Families
Buffalo,4585,185328,746,3116,2,1820
Casper,35316,317736,7788,3894,11,8756
Cheyenne,59466,917892,7158,1500,20,14613
Cody,9520,218376,1403,2999,2,3516
Douglas,6120,208008,832,1829,1,1744
Evanston,12359,283824,1486,999,5,2713
Gillette,29087,543132,4052,2749,6,7189
Powell,6314,233928,1251,2674,2,3134
Riverton,10615,303264,2680,4797,2,5556
Rock Springs,23036,253584,4022,6620,3,7572
Sheridan,17444,308232,2646,1894,9,6040
